id,estado,direccion_completa,tipo,lon,lat
18,Anzoátegui,"Planes De Salud, Avenida Los Chaparros, San Tomé 6007, Anzoátegui, Venezuela",Clínica,-64.1284461,8.9429579
19,Anzoátegui,"Traumatología, Calle 5, San Tomé 6007, Anzoátegui, Venezuela",Clínica,-64.1283345,8.9420639
20,Anzoátegui,"Módulo, Unnamed Road, Barcelona 6001, Anzoátegui, Venezuela",Hospital,-64.6280716,10.0794745
21,Anzoátegui,"Hospital Clínico Metropolitano, 2da Norte, El Tigre 6050, Anzoátegui, Venezuela",Clínica,-64.2374575,8.8960354
22,Anzoátegui,"Centro Médico Zambrano, C.a., Avenida Caracas, Barcelona 6001, Anzoátegui, Venezuela",Clínica,-64.6912334,10.1364631
23,Anzoátegui,"Módulo Fabricio Ojeda, Central, Av. Municipal, Puerto La Cruz 6023, Anzoátegui, Venezuela",Hospital,-64.6353733,10.2011775
24,Anzoátegui,"Policlínica San José, Iteca, Calle Carabobo, Puerto La Cruz 6023, Anzoátegui, Venezuela",Clínica,-64.6401028,10.1908334
25,Anzoátegui,"Club Rotary, Avenida Rotaria, Barcelona 6001, Anzoátegui, Venezuela",Clínica,-64.6782703,10.1668671
26,Anzoátegui,"Centro Médico Anzoátegui, Av Diego Bautista Urbaneja, Lechería 6016, Anzoátegui, Venezuela",Clínica,-64.684505,10.1751964
27,Anzoátegui,"Clinica De La Mujer, Carrera 13 Nte, El Tigre 6050, Anzoátegui, Venezuela",Clínica,-64.2612542,8.8964874
28,Anzoátegui,"Centro Clínico Quirúrgico Las Américas, 22 Av. Francisco De Miranda, El Tigre 6050, Anzoátegui, Venezuela",Clínica,-64.2340158,8.8959704
29,Anzoátegui,"Centro De Cardiología Dr. Rafael Pimentel, Cantv Digital, 2da Carrera Norte, El Tigre 6050, Anzoátegui, Venezuela",Hospital,-64.2526076,8.88994
30,Anzoátegui,"Emergencia, Calle Guayaquil, Barcelona 6001, Anzoátegui, Venezuela",Hospital,-64.6775995,10.1482538
31,Anzoátegui,"Ambulatorio Boyaca V, Avenida Ppal. Iv Y V, Barcelona 6001, Anzoátegui, Venezuela",Hospital,-64.6733445,10.1697694
32,Anzoátegui,"Cruz Roja Venezolana, Avenida 1, Barcelona 6001, Anzoátegui, Venezuela",Hospital,-64.6706227,10.1548887
33,Anzoátegui,"Emergencia Adultos, Avenida Ppal. Iv Y V, Barcelona 6001, Anzoátegui, Venezuela",Hospital,-64.6735482,10.1700685
34,Anzoátegui,"Clínica Popular, Avenida 2, Barcelona 6001, Anzoátegui, Venezuela",Hospital,-64.6696229,10.1665522
35,Anzoátegui,"Clínica Cantaura, Av Bolivar, Cantaura 6007, Anzoátegui, Venezuela",Hospital,-64.3628612,9.3076465
36,Anzoátegui,"Clínica Popular, Calle Guevaras Rojas, Cantaura 6007, Anzoátegui, Venezuela",Hospital,-64.3642843,9.3087215
37,Anzoátegui,"Ambulatorio, Av. Yopales, El Tigre 6050, Anzoátegui, Venezuela",Hospital,-64.2822132,8.8788550999999991
38,Anzoátegui,"Centro Médico Mazzarri Rey, 6050 3ra Carrera Sur, El Tigre 6050, Anzoátegui, Venezuela",Clínica,-64.2350932,8.8947678
39,Anzoátegui,"Ambulatorio, Capital Pedro María Freites, 6007, Anzoátegui, Venezuela",Hospital,-64.3642104,9.0813618
40,Anzoátegui,"Ambulatorio Rural Ii, Calle El Carito, San Mateo 6048, Anzoátegui, Venezuela",Hospital,-64.5528238,9.7399162
41,Anzoátegui,"Ambulatorio, Unnamed Road, Maremare 6007, Anzoátegui, Venezuela",Hospital,-64.2899493,9.205773
42,Anzoátegui,"Instituto De Especialidades Médicas (Idemca), Idemca, Av José Antonio Anzoátegui, Anaco 6003, Anzoátegui, Venezuela",Hospital,-64.4734706,9.4589779
43,Anzoátegui,"Clínica Mérida, Av Merida, Anaco 6003, Anzoátegui, Venezuela",Clínica,-64.4751624,9.426913
44,Anzoátegui,"Clínica Servi Médica Express, Calle Cajigal, Anaco 6003, Anzoátegui, Venezuela",Clínica,-64.4700381,9.4253906
45,Anzoátegui,"Centro Médico Odontologico, Av Merida, Calle Baralt, Anaco 6003, Anzoátegui, Venezuela",Clínica,-64.4706668,9.4230814
46,Anzoátegui,"Sociedad Anticancerosa, Calle Nueva Esparta, Anaco 6003, Anzoátegui, Venezuela",Clínica,-64.4687513,9.4234477
47,Anzoátegui,"Centro Médico Santa Ana, Av Merida, Anaco 6003, Anzoátegui, Venezuela",Clínica,-64.4664264,9.4185005
48,Anzoátegui,"Casa Hogar Portico Nazareth, Calle Las Brisas, Anaco 6003, Anzoátegui, Venezuela",Hospital,-64.4663032,9.4105949
49,Anzoátegui,"Dispensario Los Mesones, Principal, Barcelona 6001, Anzoátegui, Venezuela",Hospital,-64.6716753,10.0901744
50,Anzoátegui,"Clínica Industrial, Calle Sucre, Puerto La Cruz 6023, Anzoátegui, Venezuela",Clínica,-64.6232986,10.2125243
51,Anzoátegui,"Ambulatorio Cdi, Unnamed Road, San Diego 6023, Anzoátegui, Venezuela",Hospital,-64.571766,10.1157189
52,Anzoátegui,"Ipasme, Avenida Fraternidad, Barcelona 6001, Anzoátegui, Venezuela",Hospital,-64.679831,10.1756425
53,Anzoátegui,"Ambulatorio, Unnamed Road, 6007, Anzoátegui, Venezuela",Hospital,-64.2898704,8.9977835
54,Anzoátegui,"Ambulatorio Cdi, Calle 3, El Tigre 6050, Anzoátegui, Venezuela",Hospital,-64.2762216,8.908267
55,Anzoátegui,"Ambulatorio Atapirire, Unnamed Road, 6052, Anzoátegui, Venezuela",Hospital,-64.3686159,8.4333691
56,Anzoátegui,"Estado Anzoategui , Municipio Anaco , Capital Anaco Hospital Dr. Jesus Eduardo Angulo Rivas Hospital Tipo I 23 De Enero Calle 23 De Enero Sin Numero Sector 23, De Enero Calle 23 De Enero, Anaco 6003, Anzoátegui, Venezuela",Hospital,-64.4820402,9.4190396
57,Anzoátegui,"Estado Anzoategui , Municipio Anaco , Capital Anaco Clinica Industrial Gas Anaco Clínica Campo Norte Entre Campo Norte Y Campo Sur Campo Norte, Anaco 6003, Anzoategui, Venezuela",Clínica,-64.4822253,9.4533334
58,Anzoátegui,"Estado Anzoategui , Municipio Anaco , Capital Anaco Ipasme Anaco Unidad Tipo I Villa Betania Dirección: Carretera Vía Los Pilones Av Los Pilones, Anaco 6003, Anzoátegui, Venezuela",otras,-64.4306889,9.443685
59,Anzoátegui,"Estado Anzoategui , Municipio Aragua , Capital Aragua Hospital Dr. Rafael Rangel Hospital Tipo I Casco Central Av. Anzategui De Aragua De Barcelona Aragua De Barcelona 6002, Anzoategui, Venezuela",Hospital,-64.8212887,9.4605126
60,Anzoátegui,"Estado Anzoategui , Municipio Juan Antonio Sotillo , Capital Puerto La Cruz Clinica Popular Jesus De Nazareth Establecimientos Públicos G Uanire Av. Gulf Urb. Guanire Al Puerto La Cruz 6009, Anzoategui, Venezuela",Clínica,-64.6235793,10.206396
61,Anzoátegui,"Estado Anzoategui , Municipio Manuel Ezequiel Bruzual , Capital Manuel Ezequiel Bruzu Al (Clarines) Hospital Antonio Jose Rondon Lugo Hospital Tipo I Clarines Av Fernandez Padilla Av. Fernández Padilla, Anzoátegui, Venezuela",Hospital,-65.1480881,9.8968312
62,Anzoátegui,"Estado Anzoategui , Municipio Piritu , Capital Piritu Hospital Pedro Gomez Rolingson Hospital Tipo I Nuevo Piritu Av. Fernando De Peñalver Puerto Píritu, Anzoategui, Venezuela",Hospital,-65.0394139,10.0566953
63,Anzoátegui,"Estado Anzoategui , Municipio San Jose De Guanipa , Virtual San Jose De Guanipa Centro De Diagnostico Integral Dr. Pedro Urbina Centros De Diagnóstico Integral Colon Miranda Al Lado De Polianzoategui, Calle 18 De Octubre Cruce Con Av., Guanipa Calle Dieciocho De Octubre & Guanipa, San José De Guanipa 6054, Anzoátegui, Venezuela",Centro de Diagnóstico Integral,-64.1542797,8.8952952
64,Anzoátegui,"Estado Anzoategui , Municipio Simon Bolivar , El Carmen Hospital Dr. Luis Razetti Hospital Tipo Iv Barrio Universitario A Av. Argimiro Gabaldon Via Alterna, B/Universitario Avenida Rotaria, Barcelona 6001, Anzoátegui, Venezuela",Hospital,-64.63791,10.1586136
65,Apure,"Hospital Tipo Iii Romulo Gallegos, Reinaldo Armas, Elorza 7011, Apure, Venezuela",Hospital,-69.5004057,7.0609261
66,Apure,"Ambulatorio Rural Tipo I La Trinidad, Troncal 19, La Trinidad De Orichuna 7011, Apure, Venezuela",Hospital,-69.7867003,7.1145674
67,Apure,"Módulo ""Alfredo Franco"" - Parque De Ferias, Unnamed Road, San Fernando De Apure 7001, Apure, Venezuela",Hospital,-67.4817393,7.8699503
68,Apure,"Módulo 19 De Abril, 7001 Paseo Libertador, San Fernando De Apure 7001, Apure, Venezuela",Hospital,-67.4705458,7.8954257
69,Apure,"Módulo Del Polideportivo, Calle 1, San Fernando De Apure 7001, Apure, Venezuela",Hospital,-67.4611844,7.8831913
70,Apure,"Estado  Apure , Ciudad San Fernando De Apure Av. Mérida Diagonal Al I.a.n, San Fernando De Apure. Centro Clinico San Fernando, C.a. . Teléfonos:  (0247) 341.0754 /  0515 / 342.8607.",Privada,-67.4616052,7.8918674
71,Apure,"Estado  Apure , Ciudad San Fernando De Apure Calle Independencia, Vía Hospital. Edf. Semica , San Fernando De Apure. Centro Medico Guadalupe . Teléfonos:  (0247) 341.0459 / Fax: 341,4316.",Privada,-67.4757388,7.8888316
72,Apure,"Estado Apure , Municipio Achaguas , Urbana Achaguas Hospital Dr. Francisco Antonio Risqu Ez Hospital Tipo I Casco Central (Acha Guas) Av. Los Centauros Centro De Achagu Achaguas 7002, Apure, Venezuela",Hospital,-68.2241882,7.7818575
73,Apure,"Estado Apure , Municipio Pedro Camejo , Urbana San Juan De Pay Ara Hospital Lorenza Castillo Hospital Tipo I Payara) Casco Central (San Juan De Av. Negro Primero A La Entrada Del, Pueblo San Juan De Payara 7004, Apure, Venezuela",Hospital,-67.6081066,7.6457404
74,Apure,"Estado Apure , Municipio Romulo Gallegos Urbana , Elorza Hospital Romulo Gallegos Hospital Tipo I Casco Central (Elor Calle Damaso Figueredo Cerca Del, Za) Comando De La Guardia Nacional Urbana Elorza, 7011, Apure, Venezuela",Hospital,-69.4784541,6.8087065
75,Apure,"Estado Apure , Municipio Paez , Urbana Guasdualito Hospital Jose Antonio Paez Hospital Tipo Ii Casco Central (Guas Dualito) Av. Principal Las Carpas Urb. F.m Av Las Carpas, Guasdualito 5063, Apure, Venezuela",Hospital,-70.7263756,7.2297829
76,Apure,"Estado Apure , Municipio San Fernando , Urbana San Fernando Hospital Dr. Pablo Acosta Ortiz Hospital Tipo Iii De Apure Casco Cent Sector Centro (San Fernando Av. Caracas Al Frente De Farmacia, Ral Farmadescuento Avenida Caracas, San Fernando De Apure 7001, Apure, Venezuela",Hospital,-67.4736282,7.8818737
77,Apure,"Estado Apure , Municipio Paez , Urbana Guasdualito Ipasme Guasdualito Unidades Tipo I Casco Central (Guas Dirección: Carrera General Salón (Entre, Dualito) Calle Sucre Y Cedeño) Carrera General, Guasdualito 5063, Apure, Venezuela",otras,-70.7348192,7.2408201
78,Aragua,"Aragua ,  Central ,  “Calle Sucre Cruce Con Av. José María Vargas Urb. La Floresta” ,  02432418286
02432414487",otras,-67.58931,10.274855
79,Aragua,"Clinica Maria De La Paz, Parada Mansión De Michell, Calle Carlos Blank Nte, La Victoria 2121, Aragua, Venezuela",Hospital,-67.3267558,10.2266185
80,Aragua,"Maternidad La Floresta, 1 Calle Comercio, Maracay 2101, Aragua, Venezuela",Hospital,-67.5878467,10.2680477
81,Aragua,"Centro Quirurgico Maracay, Avenidas Jose Maria Vargas, Maracay 2101, Aragua, Venezuela",Clínica,-67.5869961,10.272206
82,Aragua,"Cruz Roja, Edificio Samy, Maracay 2101, Aragua, Venezuela",Hospital,-67.601277,10.2509093
83,Aragua,"Módulo De El Castaño, Parada El Castaño I, Carretera Zuata - La Victoria, 2121, Aragua, Venezuela",Hospital,-67.3672739,10.1901831
84,Aragua,"Medicatura De Zuata, Terminal Zuata - La Victoria, Calle Andrés Eloy Blanco, Zuata 2121, Aragua, Venezuela",Hospital,-67.3954875,10.1624038
85,Aragua,"Unidad Medica Integral La Maestranza, Calle López Abeledo Cruce Con Primera Transversal De Calicanto #13 Frente A La Plaza De Toros Cesar Girón, Maracay 2101, Aragua, Venezuela",Clínica,-67.5994185,10.2543886
86,Aragua,"Clinica Calicanto, Nº45, Av. Sucre, Maracay 2101, Aragua, Venezuela",Clínica,-67.5973699,10.253902
87,Aragua,"Policlínica La Villa, Callejon Los Coloraditos, Detrás Del Banco De Venezuela, Villa De Cura 2126, Aragua, Venezuela",Clínica,-67.4876822,10.0403214
88,Aragua,"Seguro Social De Cagua, Principal, Cagua 2122, Aragua, Venezuela",Hospital,-67.4599121,10.1540439
89,Aragua,"Módulo Tamboirito, Avenida Este Sabana Larga, Cagua 2122, Aragua, Venezuela",Hospital,-67.4460007,10.1804078
90,Aragua,"Unidad Quirúrgica Oftalmológica Santa Lucía Ca, 34 Avenida 19 De Abril, Maracay 2101, Aragua, Venezuela",Clínica,-67.6000214,10.2535721
91,Aragua,"Clínica El Carmen, Avenida 10 De Diciembre, Maracay 2103, Aragua, Venezuela",Clínica,-67.5963836,10.2473064
92,Aragua,"Negra Mates Otra Banda, Parada Barrio Sucre Ii, Calle 12 De Febrero, La Victoria 2121, Aragua, Venezuela",Hospital,-67.336214,10.2180551
93,Aragua,"Estado  Aragua , Ciudad Cagua Calle Pichincha Este, No. 104-65-05, Cagua Centro Medico Cagua . Teléfonos:  (0244) 395.4265 / 4473 / 4603 / Fax:
447.9208",Privada,-67.4592136,10.1903726
94,Aragua,"Estado  Aragua , Ciudad La Victoria Calle Páez Cruce Calle Con Rafael Longoria Y Rivas Dávila, La Victoria. Centro Clinico La Fontana, C.a. . Teléfonos:  (0244) 322.1507 / 3420.",Privada,-67.332225,10.2283945
95,Aragua,"Estado  Aragua , Ciudad La Victoria Calle Vicentelli Cruce Con Calle Carabobo. La Victoria Centro Medico Achaguas, C.a . Teléfonos:  (0244)  322.2892 / 2925",Privada,-67.3308529,10.2268974
96,Aragua,"Estado  Aragua , Ciudad La Victoria Calle Juan Vicente Bolivar Y Ponte C/C Garcia De Sena Hospital De Clinicas Aragua . Teléfonos:  (0244) 321.3187 / Fax: 3227744",Privada,-67.333404,10.2306766
97,Aragua,"Estado  Aragua , Ciudad Maracay Urb. San Miguel Calle Valencia Nro. 12. Centro Clinico Materno Pedediatrico San Miguel . Teléfonos:  (0243)  246.4594 / 5957",Privada,-67.6073944,10.2387769
98,Aragua,"Estado  Aragua , Ciudad Maracay Av. Las Delicias Con Av. Casanova Godoy. Maracay Centro Medico Maracay, C.a. . Teléfonos:  (0243) 232.0545 (Central) / 3829 / 7274
/ 3211/ 3324 / 1544",Privada,-67.5911619,10.2576885
99,Aragua,"Estado  Aragua , Ciudad Maracay Av. Sucre Norte Nª 43, Edif. Clinica Calicanto, Urb. Calicanto Clinica Calicanto, C.a. . Teléfonos:  0243- 232,7550 / 232,3234",Privada,-67.5973001,10.2541085
100,Aragua,"Estado  Aragua , Ciudad Maracay Av. 19 De Abril, Oeste, Nº 82, Maracay Clinica Lugo, C.a. . Teléfonos:  (0243) 245.1411 / 1468 / 246-5264 / Fax.
245-1737",Privada,-67.6035832,10.258311
101,Aragua,"Estado  Aragua , Ciudad Maracay Av. Las Delicias C/C Callejon Bocono  Nª61, Sector Cantarrana. Hospital De Clinicas Las Delicias C.a. . Teléfonos:  0243-244,1258 / 1250",Privada,-67.5698179,10.2826816
102,Aragua,"Estado  Aragua , Ciudad Maracay Calle Coromoto C/C 2da. Transversal, Casa Nro.
14. Urb. Calicanto. Inversiones Virgen De Guadalupe . Teléfonos:  0243-2468217 / 8138 / 4570",Privada,-67.6175203,10.2324649
103,Aragua,"Estado  Aragua , Ciudad Maracay Calle Comercio, Nro. 1, Urb. La Floresta. Maternidad La Floresta, C.a. . Teléfonos:  (0243) 242,2261 / 0028 / 4997",Privada,-67.5878137,10.2681993
104,Aragua,"Estado  Aragua , Ciudad Maracay Calle López  Aveledo Norte, No. 5, Maracay Policlinica Maracay . Teléfonos:  (0243) 246.4637 / 247.2001 / Fax:
246.8614",Privada,-67.5997711,10.2537642
105,Aragua,"Estado  Aragua , Ciudad Maracay Calle San Miguel Nº 39 Santa Rosa, Maracay Policlinica Santa Rosa . Teléfonos:  (0243) 553.0521 / 0955",Privada,-67.6095851,10.2455521
106,Aragua,"Estado  Aragua , Ciudad Maracay Av. Aragua Con Bermudez, Urb. El Centro, C.c. Maracay Plaza, Nivel 1, Local 102j Y 103j. Upo Quirurgica, C.a. . Teléfonos:  0243-234,0415 / 511,3611",Privada,-67.5970872,10.233201
107,Aragua,"Estado  Aragua , Ciudad Turmero Prolongación Av. Bolívar (Al Lado Del Ambulatorio De Turmero). Turmero Instituto Policlinico De Turmero Hospital Privado . Teléfonos:  (0244) 663.8011 / 4845 / 400.1800",Privada,-67.4681354,10.2277721
108,Aragua,"Estado Aragua , Municipio San Sebastian , Virtual San Sebastian Hospital Nuestra Señora De La Caridad Hospital Tipo I Centro Calle Paul Sin Número Centro San, Sebastian Calle Paul, San Sebastián 2340, Aragua, Venezuela",Hospital,-67.1778303,9.9490771
109,Aragua,"Estado Aragua , Municipio Tovar , Virtual Tovar Centro De Diagnostico Integral Colonia Tovar Centros De Diagnóstico Integral Matapalo Colonia Tovar,Sector Mata Palo Al, Lado De Los Joquilis Colonia Tovar 1030, Aragua, Venezuela",Centro de Diagnóstico Integral,-67.2907465,10.4051095
110,Aragua,"Estado Aragua , Municipio Zamora , Zamora Hospital . Jose Rangel (Corposalud) Hospit Al Tipo Ii Villa De Cura Cura Av. Bolivar, Sector La Romana, Villa De, Aragua Villa De Cura 2126, Aragua, Venezuela",Hospital,-67.4892732,10.0372825
111,Aragua,"Estado Aragua , Municipio Zamora , No Urbana Augusto Mijares Cent Ro Penitenciario De Aragua (Penitenciario) Establ Ecimiento No Adscrito Al Mpps Tocor On I Tocoron. Magdaleno, Centro Penitenciario, Carretera Nacional Villa De Cura -, Direccio Troncal11, 2126, Aragua, Venezuela",otras,-67.5778498,10.0853583
112,Aragua,"Estado Aragua , Municipio Mario Briceño Iragorry , Mario Briceño Iragorry Unidad De Emergencia La Candelaria Otro Centr O De Salud La Cand Elaria I Al Lado D Calle Romulo Gallegos La Candelaria,, E La Mia Aragua El Limon 2105, Aragua, Venezuela",otras,-67.6359249,10.2851605
113,Aragua,"Estado Aragua , Municipio Mario Briceño Iragorry , Urbana Caña De Azucar Centro De Especialidades Los Grillitos Otro Centr O De Salud Urb. Ca Ña De Azucar Sector 3 3, Al Lad Av. Principal De Caña De Azucar, Sector, O De La Casa De La Cultura Aragua 28 Calle 28, El Limón 2105, Aragua, Venezuela",otras,-67.6175374,10.2680338
114,Aragua,"Estado Aragua , Municipio Santiago Mariño , Santiago Mariño Sala De P Arto De Turmero Otro Centr O De Salud Turmero La Sede D Final De La Calle Bolívar S/N, Diagonal A, E La Ptj,Turmero Aragua Turmero, Aragua, Venezuela",otras,-67.4858429,10.2151672
115,Aragua,"Estado Aragua , Municipio Alcantara , Francisco Linares Alcantara Cl Inica Inpol Est Ablecimientos No Adscritos A Minsal Ud La Morita Ii Francisco Linares, Calle Carnivale De La Morita Ii Santa Rita 2106, Aragua, Venezuela",otras,-67.5581878,10.2150759
116,Barinas,"Ivss, Calle Torumos, Barinas 5201, Barinas, Venezuela",Hospital,-70.1905915,8.6052642
117,Barinas,"Ambulatorio Rural Ii, El Corozo, 5201, Barinas, Venezuela",Hospital,-70.362818,8.567199
118,Barinas,"Cruz Roja Venezolana Barinitas, Calle 18, Barintas 5206, Barinas, Venezuela",Hospital,-70.4156552,8.7653267
119,Barinas,"Hospital Thelmo Moreno, Unnamed Road, Barrancas 5211, Barinas, Venezuela",Hospital,-70.1124682,8.763963
120,Barinas,"Centro Medico Barinas, Mijagua, Barinas 5201, Barinas, Venezuela",Hospital,-70.1995657,8.6188183
121,Barinas,"Módulo El Cambio, Calle 8 Con Av Guaicaipuro, Barinas 5201, Barinas, Venezuela",Hospital,-70.2343895,8.6270629
122,Barinas,"Ambulatorio Rural, Par Vial Sabaneta-Puerto De Nutrias, Los Cañaverales 5221, Barinas, Venezuela",Hospital,-69.3828571,8.1943259
123,Barinas,"Ambulatorio Rural, Unnamed Road, Dolores 5217, Barinas, Venezuela",Hospital,-69.5676586,8.2845279
124,Barinas,"Módulo, Unnamed Road, Libertad 5220, Barinas, Venezuela",Hospital,-69.6352342,8.3337978
125,Barinas,"Estado  Barinas , Ciudad Barinas Calle Aramendi Con Av. Páez, Edif.: Sarina. Clinica Unicor Barinas, C.a. . Teléfonos:  (0273)  552.2466 / 0483 / 532.1864 /
0434 / 1723 / 3023",Privada,-70.210751,8.6289555
126,Barinas,"Estado  Barinas , Ciudad Barinas Calle Arismendi Entre Av. Garguera Y Vuelvan Caras Nº 13-46. Barinas Grupo Corporativo Clinica Nuestra Señora Del Pilar C A . Teléfonos:  (0273) 416,2172 / Fax: 533.5616",Privada,-70.2091145,8.6267537
127,Barinas,"Estado  Barinas , Ciudad Barinas Avenida Raúl B. López Con Calle Venezuela. Barinas. Instituto Diagnostico Varyna . Teléfonos:  (0273) 533.1022 /  1451.",Privada,-70.244832,8.6115157
128,Barinas,"Estado Barinas , Municipio Alberto Arvelo Torrealba , Sabaneta Hospital Dr. Jesus Arnoldo Camacho Peña Hospital Tipo I Sabaneta Entrada Sabaneta,Av.gran Mariscal Sabaneta 5224, Barinas, Venezuela",Hospital,-69.9371673,8.7610161
129,Barinas,"Estado Barinas , Municipio Antonio Jose De Sucre , Ticoporo Maternal Manuelita Saenz Clínica Privada Socopo Sector Centro, Diagonal Al Banco, Agricola Socopó 5216, Barinas, Venezuela",Privada,-70.8227697,8.2330314
130,Barinas,"Estado Barinas , Municipio Antonio Jose De Sucre , Ticoporo Hospital Dr. Jose Leon Tapia Hospital Tipo I Los Naranjos B Arrio Los Naranjos Carrera 15 Y 17 Socopó 5216, Barinas, Venezuela",Hospital,-70.8188922,8.223945
131,Barinas,"Estado Barinas , Municipio Barinas , Barinas Recuperacion Nutricional (Fundacern) Otro Centro De Salud Bomba Lara Fundacion Centro De Educacion Y Nacional De Estadística (I.n.e.) Frente, Bomba Lara Al Lado Del Instituto, Teatro Orlando Araujo Barinas 5201, Barinas, Venezuela",otras,-70.2135945,8.6361133
132,Barinas,"Estado Barinas , Municipio Barinas , Romulo Betancourt Ipasme Barinas Unidades Tipo Iii Rodriguez Dominguez Av. Industrial Al Lado Clinica La, Marquesa Av Industrial, Barinas 5201, Barinas, Venezuela",otras,-70.2289073,8.6436354
133,Barinas,"Estado Barinas , Municipio Barinas , Corazon De Jesus Hospital Luis Razeti Hospital Tipo Iii La Victoria La Victoria Calle Cedeñ Calle Cedeño, Barinas 5201, Barinas, Venezuela",Hospital,-70.2037525,8.6211625
134,Barinas,"Estado Barinas , Municipio Barinas , Corazon De Jesus Cruz Roja Barinas Clínica Privada La Carolina Al Frente Parque La Car Barinas 5201, Barinas, Venezuela",Privada,-70.2066698,8.6222664000000009
135,Barinas,"Estado Barinas , Municipio Barinas , Ramon Ignacio Mendez Maldonado (Ivss) Hospital Tipo Ii Primero De D Hospital Materno Infantil Samuel D. Urb. Primero De Diciembre Iii Frente, Iciembre Iii Mercal Barinas 5201, Barinas, Venezuela",Hospital,-70.1904893,8.605391
136,Barinas,"Estado Barinas , Municipio Olivar , Barinitas Hospital Nuestra Señora Del Car Men Hospital Tipo I Barinitas Barinitas, Carrera 9 Final De L Barinitas 5206, Barinas, Venezuela",Hospital,-70.4158547,8.7580462
